Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.057161,0.758961,0.693123,0.51012,0.209016,0.759094,0.3896,0.691225,0.238926,0.499699,0.681188,0.755727,0.809128,0.165287,0.835571,0.621675,0.747961,1
0.066471,0.83805,0.47955,0.438422,0.232086,0.725678,0.522012,0.951536,0.411022,0.322453,0.953832,0.698162,0.666809,0.321758,0.648666,0.475081,0.819101,1
0.055331,0.875663,0.499912,0.308333,0.149364,0.730426,0.465265,0.813553,0.268425,0.318185,0.81082,0.803589,0.792848,0.194532,0.775377,0.484022,0.852113,1
0.057644,0.757114,0.697295,0.515607,0.22207,0.752874,0.394695,0.691276,0.243862,0.505699,0.681965,0.754187,0.808636,0.166389,0.833836,0.618563,0.751646,1
0.055481,0.752213,0.706278,0.523869,0.227984,0.753085,0.393596,0.689287,0.245865,0.514562,0.679887,0.752363,0.804109,0.165763,0.836567,0.614857,0.756326,1
0.056124,0.751755,0.70811,0.525589,0.227608,0.746675,0.398103,0.687753,0.243435,0.517901,0.679048,0.756196,0.806934,0.164209,0.837544,0.611097,0.761059,1
0.05859,0.772329,0.694691,0.470799,0.193353,0.767044,0.369642,0.664752,0.213227,0.493942,0.652932,0.775615,0.831255,0.147111,0.856075,0.614884,0.764437,1
0.054359,0.774032,0.695321,0.474545,0.209152,0.758819,0.377083,0.666057,0.218856,0.497657,0.655236,0.775994,0.829488,0.14969,0.855237,0.605577,0.772114,1
0.065693,0.76823,0.704101,0.482178,0.197411,0.760401,0.374201,0.662829,0.215809,0.505439,0.65172,0.777441,0.830341,0.149008,0.853225,0.608459,0.770274,1
0.062264,0.767629,0.709044,0.490582,0.203423,0.755807,0.380048,0.666976,0.225518,0.512297,0.656535,0.773289,0.8246,0.154178,0.847841,0.596892,0.779552,1
0.062644,0.763782,0.714382,0.491132,0.204122,0.756968,0.37497,0.65867,0.218583,0.51643,0.647825,0.780933,0.830495,0.149719,0.854614,0.596656,0.783152,1
0.056818,0.76482,0.718572,0.495377,0.19051,0.756462,0.376523,0.66117,0.206641,0.521216,0.650464,0.782619,0.830118,0.143781,0.855735,0.588427,0.791541,1
0.063552,0.759453,0.724664,0.498538,0.183232,0.756279,0.373813,0.65533,0.198218,0.526561,0.644457,0.790551,0.837171,0.138378,0.859029,0.589925,0.793449,1
0.058461,0.839389,0.473047,0.436382,0.272943,0.726496,0.522691,0.955038,0.436172,0.317071,0.957352,0.683786,0.650486,0.334808,0.641593,0.470904,0.816892,1
0.061624,0.760695,0.731067,0.508862,0.21176,0.757014,0.375894,0.661126,0.216879,0.533974,0.650355,0.777408,0.821208,0.150375,0.852487,0.577886,0.797321,1
